Date,Day,Month,Quater,Year,Open,High,Low,Close,Volume,,
7/2/2024,Tuesday,July,Q2,2024,673.54,681.74,670.07,679.58,2411426,,
7/1/2024,Monday,July,Q2,2024,674.89,675.02,663.78,673.61,2212826,,
6/28/2024,Friday,June,Q2,2024,679,687,673.08,674.88,3412391,,
6/27/2024,Thursday,June,Q2,2024,679.35,688.57,678.14,684.34,2404849,,
6/26/2024,Wednesday,June,Q2,2024,672.41,682.96,670.02,677.69,3545815,,
6/25/2024,Tuesday,June,Q2,2024,673.44,673.67,662.3,672.41,2278768,, 
6/24/2024,Monday,June,Q2,2024,685,685.5,664.5,669.02,3916335,,
6/21/2024,Friday,June,Q2,2024,683.26,686.9,678.1,686.12,4557086,,
6/20/2024,Thursday,June,Q2,2024,681.8,689.88,673.72,679.03,2585089,,
6/18/2024,Tuesday,June,Q2,2024,675.63,687.06,674.64,685.67,2943775,,
6/17/2024,Monday,June,Q2,2024,669.11,682.71,665.11,675.83,3631184,,
6/14/2024,Friday,June,Q2,2024,655.05,675.58,652.64,669.38,4447116,,
6/13/2024,Thursday,June,Q2,2024,644,655.25,642.35,653.26,1863587,,
6/12/2024,Wednesday,June,Q2,2024,652.21,655.78,643.11,650.06,2094381,,
6/11/2024,Tuesday,June,Q2,2024,640.72,650.19,640.52,648.55,2167417,,
6/10/2024,Monday,June,Q2,2024,641.01,644.79,635.59,644.5,2066759,,
6/7/2024,Friday,June,Q2,2024,649.38,650.4,640.24,641.47,1876631,,
6/6/2024,Thursday,June,Q2,2024,644.89,657.99,644.24,648.52,2466664,,
6/5/2024,Wednesday,June,Q2,2024,634.02,651.25,628.25,650.27,2682614,,
6/4/2024,Tuesday,June,Q2,2024,633.78,635.23,626.44,631.62,3008151,,
6/3/2024,Monday,June,Q2,2024,645.22,646.78,627.27,633.79,2323506,,
5/31/2024,Friday,May,Q2,2024,644.01,648.58,628.3,641.62,4071023,,
5/30/2024,Thursday,May,Q2,2024,653.52,656.49,644.73,647.66,2393354,,
5/29/2024,Wednesday,May,Q2,2024,644.13,664.25,643.89,654.62,3695935,,
5/28/2024,Tuesday,May,Q2,2024,647.05,649.75,643.03,649,2609451,,
5/24/2024,Friday,May,Q2,2024,639.4,652,637.6,646.75,2615260,,
5/23/2024,Thursday,May,Q2,2024,642.34,642.71,630,635.67,2313939,,
5/22/2024,Wednesday,May,Q2,2024,647.14,649.25,638.12,640.47,2176174,,
5/21/2024,Tuesday,May,Q2,2024,636.76,650.88,634.22,650.61,2920155,,
5/20/2024,Monday,May,Q2,2024,620.4,644.37,619.52,640.82,3857853,,
5/17/2024,Friday,May,Q2,2024,617,625.79,614.71,621.1,3782708,,
5/16/2024,Thursday,May,Q2,2024,615.75,618.34,609.09,610.52,3056350,,
5/15/2024,Wednesday,May,Q2,2024,618.57,624.1,609.1,613.52,5670607,,
5/14/2024,Tuesday,May,Q2,2024,615.17,621.48,608.4,613.66,2792358,,
5/13/2024,Monday,May,Q2,2024,614.3,618.22,606.83,616.59,2086197,,
5/10/2024,Friday,May,Q2,2024,619,623.98,605.06,610.87,2653586,,
5/9/2024,Thursday,May,Q2,2024,614.4,615.72,605.75,612.09,2065375,,
5/8/2024,Wednesday,May,Q2,2024,601.63,618.22,601.63,609.47,3093904,,
5/7/2024,Tuesday,May,Q2,2024,596.28,606.05,591.32,606,3614092,,
5/6/2024,Monday,May,Q2,2024,581.82,597.34,580.25,596.97,3686337,,
5/3/2024,Friday,May,Q2,2024,566,580.26,565.16,579.34,3307524,,
5/2/2024,Thursday,May,Q2,2024,556.02,565.46,555.59,565.15,3068228,,
5/1/2024,Wednesday,May,Q2,2024,547.84,560.39,544.25,551.71,3473233,,
4/30/2024,Tuesday,April,Q1,2024,560,560,549.38,550.64,3361492,,
4/29/2024,Monday,April,Q1,2024,559.18,559.64,554.24,559.49,2508882,,
4/26/2024,Friday,April,Q1,2024,558.21,562.92,553.19,561.23,4332593,,
4/25/2024,Thursday,April,Q1,2024,549.46,566.54,545.71,564.8,3807101,,
4/24/2024,Wednesday,April,Q1,2024,574.31,576.91,551.3,555.12,5355312,,
4/23/2024,Tuesday,April,Q1,2024,556.49,579.21,555.28,577.75,4975520,,
4/22/2024,Monday,April,Q1,2024,550.66,558.61,542.01,554.6,8597651,,
4/19/2024,Friday,April,Q1,2024,567.88,579,552.16,555.04,16449699,,
4/18/2024,Thursday,April,Q1,2024,612.1,621.33,605.44,610.56,8468407,,
4/17/2024,Wednesday,April,Q1,2024,620.97,620.97,607.71,613.69,3312222,,
4/16/2024,Tuesday,April,Q1,2024,607.5,622.45,607.5,617.52,3519122,,
4/15/2024,Monday,April,Q1,2024,630.17,630.17,603.87,607.15,3085394,,
4/12/2024,Friday,April,Q1,2024,628.23,633.12,618.92,622.83,2959269,,
4/11/2024,Thursday,April,Q1,2024,624.42,631.66,617.24,628.78,2662662,,
4/10/2024,Wednesday,April,Q1,2024,610.97,620.14,609.34,618.58,2806248,,
4/9/2024,Tuesday,April,Q1,2024,631.99,631.99,615.63,618.2,2146635,,
4/8/2024,Monday,April,Q1,2024,636.39,639,628.11,628.41,2145731,,
4/5/2024,Friday,April,Q1,2024,624.92,637.91,622.71,636.18,3378842,,
4/4/2024,Thursday,April,Q1,2024,633.21,638,616.58,617.14,3064349,,
4/3/2024,Wednesday,April,Q1,2024,612.75,630.41,611.5,630.08,2931231,,
4/2/2024,Tuesday,April,Q1,2024,611,615.03,605.51,614.21,2029217,,
4/1/2024,Monday,April,Q1,2024,608,615.11,605.57,614.31,2115925,,
3/28/2024,Thursday,March,Q1,2024,614.99,615,601.59,607.33,3708803,,
3/27/2024,Wednesday,March,Q1,2024,629.01,631.35,610.73,613.53,2628267,,
3/26/2024,Tuesday,March,Q1,2024,625.2,634.39,619.18,629.24,2804453,,
3/25/2024,Monday,March,Q1,2024,627.9,630.46,623.16,627.46,1803264,,
3/22/2024,Friday,March,Q1,2024,624.16,629.05,621,628.01,2135688,,
3/21/2024,Thursday,March,Q1,2024,630.65,634.36,622.33,622.71,2507671,,
3/20/2024,Wednesday,March,Q1,2024,619.95,629.51,618.34,627.69,2639509,,
3/19/2024,Tuesday,March,Q1,2024,615.62,621.28,608,620.74,2142613,,
3/18/2024,Monday,March,Q1,2024,613.56,627.41,610.45,618.39,3344244,,
3/15/2024,Friday,March,Q1,2024,622.92,622.92,603.82,605.88,6671629,,
3/14/2024,Thursday,March,Q1,2024,615,620.8,607.35,613.01,3120452,,
3/13/2024,Wednesday,March,Q1,2024,613.37,614.85,607.21,609.45,2192094,,
3/12/2024,Tuesday,March,Q1,2024,600.21,615.3,596.27,611.08,2821631,,
3/11/2024,Monday,March,Q1,2024,608.08,611,600.37,600.93,2500940,,
3/8/2024,Friday,March,Q1,2024,608.27,616.09,600.84,604.82,2777243,,
3/7/2024,Thursday,March,Q1,2024,599.34,610.53,595.9,608.51,2742805,,
3/6/2024,Wednesday,March,Q1,2024,602.99,607.93,593.56,597.69,2469592,,
3/5/2024,Tuesday,March,Q1,2024,610.1,610.91,592,598.5,3849563,,
3/4/2024,Monday,March,Q1,2024,621.56,624.42,615.08,615.83,3020306,,
3/1/2024,Friday,March,Q1,2024,599.81,620.28,599.5,619.34,4270305,,
2/29/2024,Thursday,February,Q1,2024,604.25,604.52,595.16,602.92,3572082,,
2/28/2024,Wednesday,February,Q1,2024,595.79,598.17,590.01,596.48,2605242,,
2/27/2024,Tuesday,February,Q1,2024,595,605.36,592.33,601.67,4489355,,
2/26/2024,Monday,February,Q1,2024,583.56,590.75,583.27,587.65,2393712,,
2/23/2024,Friday,February,Q1,2024,586.4,592.43,579.82,583.56,2568852,,
2/22/2024,Thursday,February,Q1,2024,582.75,590.85,578.89,588.47,3526597,,
2/21/2024,Wednesday,February,Q1,2024,573.51,575.78,567.32,573.35,2281143,,
2/20/2024,Tuesday,February,Q1,2024,580.18,586,569.66,575.13,3124236,,
2/16/2024,Friday,February,Q1,2024,596.95,597,577.46,583.95,4325689,,
2/15/2024,Thursday,February,Q1,2024,581.91,593.77,580.32,593.46,5220938,,
2/14/2024,Wednesday,February,Q1,2024,567.26,581.25,564.34,579.33,5634226,,
2/13/2024,Tuesday,February,Q1,2024,550.8,559.2,549,554.52,3511453,,
2/12/2024,Monday,February,Q1,2024,560.36,568.44,557,557.85,3608487,,
2/9/2024,Friday,February,Q1,2024,565,566,558.1,561.32,3055698,,
2/8/2024,Thursday,February,Q1,2024,560.55,563.7,555.74,558.53,3175468,,
2/7/2024,Wednesday,February,Q1,2024,558.16,567.8,554.98,559.3,4373591,,
2/6/2024,Tuesday,February,Q1,2024,564.12,566.34,554.37,555.88,2840300,,
2/5/2024,Monday,February,Q1,2024,562.47,575.75,557.2,562.06,4143099,,
2/2/2024,Friday,February,Q1,2024,564.52,567.8,562.37,564.64,4032843,,
2/1/2024,Thursday,February,Q1,2024,567.02,572.66,563.83,567.51,3174002,,
1/31/2024,Wednesday,January,Q0,2024,562.85,572.15,562.05,564.11,4857599,,
1/30/2024,Tuesday,January,Q0,2024,567.32,570.88,560.82,562.85,6181798,,
1/29/2024,Monday,January,Q0,2024,571.35,578.55,562.68,575.79,6905390,,
1/26/2024,Friday,January,Q0,2024,561.81,579.64,558.43,570.42,12770570,,
1/25/2024,Thursday,January,Q0,2024,551.95,563.46,548.46,562,9451915,,
1/24/2024,Wednesday,January,Q0,2024,537.75,562.5,537.07,544.87,26432801,,
1/23/2024,Tuesday,January,Q0,2024,492,498.96,481.4,492.19,15506020,,
1/22/2024,Monday,January,Q0,2024,487.55,489.8,479.9,485.71,5212309,,
1/19/2024,Friday,January,Q0,2024,484.98,485.67,476.06,482.95,5672351,,
1/18/2024,Thursday,January,Q0,2024,480.03,485.77,478.02,485.31,4054399,,
1/17/2024,Wednesday,January,Q0,2024,484.5,486.21,475.26,480.33,4894593,,
1/16/2024,Tuesday,January,Q0,2024,490,494.15,478.02,481.24,4678974,,
1/12/2024,Friday,January,Q0,2024,500.51,500.79,490.61,492.16,5003718,,
1/11/2024,Thursday,January,Q0,2024,492.54,503.41,483.82,492.23,7993265,,
1/10/2024,Wednesday,January,Q0,2024,481.6,487,472.95,478.33,4342448,,
1/9/2024,Tuesday,January,Q0,2024,475.53,485.09,473.8,482.09,3526757,,
1/8/2024,Monday,January,Q0,2024,473.89,485.24,473.65,485.03,3675775,,
1/5/2024,Friday,January,Q0,2024,476.5,479.55,471.8,474.06,2631250,,
1/4/2024,Thursday,January,Q0,2024,472.98,480.74,466.53,474.67,3636513,,
1/3/2024,Wednesday,January,Q0,2024,467.32,475.05,465.77,470.26,3443694,,
1/2/2024,Tuesday,January,Q0,2024,483.19,484.65,461.86,468.5,5049423,,
12/29/2023,Friday,December,Q4,2023,490.37,492.23,481.94,486.88,2740555,,
12/28/2023,Thursday,December,Q4,2023,492,492.89,489.07,490.51,1710492,,
12/27/2023,Wednesday,December,Q4,2023,491.24,494.02,489.25,491.79,2561330,,
12/26/2023,Tuesday,December,Q4,2023,489.39,491.48,486.38,491.19,2034517,,
12/22/2023,Friday,December,Q4,2023,494,496.02,485.45,486.76,2702672,,
12/21/2023,Thursday,December,Q4,2023,492.66,494.4,486.77,491.61,2756225,,
12/20/2023,Wednesday,December,Q4,2023,492,500.89,488.39,489.27,4563690,,
12/19/2023,Tuesday,December,Q4,2023,488.4,496.14,484.06,495.02,3849014,,
12/18/2023,Monday,December,Q4,2023,476.3,492.04,475.1,486.12,6410660,,
12/15/2023,Friday,December,Q4,2023,467.3,473,467.3,472.06,7840992,,
12/14/2023,Thursday,December,Q4,2023,480.36,480.76,464.76,469.83,5176437,,
12/13/2023,Wednesday,December,Q4,2023,461.98,481.25,461.98,479.98,5820192,,
12/12/2023,Tuesday,December,Q4,2023,465.23,465.61,459.2,463,3302660,,
12/11/2023,Monday,December,Q4,2023,459.36,470.65,457.21,459.89,4929662,,
12/8/2023,Friday,December,Q4,2023,450.76,455.5,450.76,453.76,3458384,,
12/7/2023,Thursday,December,Q4,2023,450.85,452.89,448.32,452,3506722,,
12/6/2023,Wednesday,December,Q4,2023,460,460.5,445.73,446.73,4178755,,
12/5/2023,Tuesday,December,Q4,2023,450.7,456.39,449.58,455.15,3380674,,
12/4/2023,Monday,December,Q4,2023,460.99,461.2,451.2,453.9,5157713,,
12/1/2023,Friday,December,Q4,2023,473.17,475.23,464.6,465.74,4341471,,
11/30/2023,Thursday,November,Q4,2023,475.31,478.59,470.42,473.97,4287349,,
11/29/2023,Wednesday,November,Q4,2023,479,480.99,474.49,477.19,2855540,,
